Customer,ST,GENDER,Education,Customer Lifetime Value,Income,Monthly Premium Auto,Number of Open Complaints,Policy Type,Vehicle Class,Total Claim Amount,State,Gender
bw63560,oregon,f,bachelor,746313.94%,1970-01-01 00:00:00.000024599,1970-01-01 00:00:00.000000064,1/1/00,corporate auto,four-door car,1970-01-01 00:00:00.000000042,california,f
fv94802,nevada,f,high school or below,256686.78%,1970-01-01 00:00:00.000025049,1970-01-01 00:00:00.000000067,1/0/00,personal auto,two-door car,1970-01-01 00:00:00.000000454,california,f
oe15005,cali,f,college,394524.16%,1970-01-01 00:00:00.000028855,1970-01-01 00:00:00.000000101,1/0/00,personal auto,suv,1970-01-01 00:00:00.000000647,california,f
wc83389,oregon,f,college,571033.31%,1970-01-01 00:00:00.000051148,1970-01-01 00:00:00.000000072,1/0/00,personal auto,four-door car,1970-01-01 00:00:00.000000308,california,f
fl50705,california,f,high school or below,816261.71%,1970-01-01 00:00:00.000066140,1970-01-01 00:00:00.000000101,1/0/00,corporate auto,four-door car,1970-01-01 00:00:00.000000484,california,f
zk25313,oregon,f,high school or below,287205.13%,1970-01-01 00:00:00.000057749,1970-01-01 00:00:00.000000074,1/0/00,personal auto,two-door car,1970-01-01 00:00:00.000000355,california,f
qk46697,washington,m,bachelors,617710.93%,1970-01-01 00:00:00.000061040,1970-01-01 00:00:00.000000079,1/1/00,personal auto,two-door car,1970-01-01 00:00:00.000000020,california,f
yh23384,arizona,f,bachelor,2412750.40%,1970-01-01 00:00:00.000014072,1970-01-01 00:00:00.000000071,1/0/00,personal auto,four-door car,1970-01-01 00:00:00.000000511,california,f
tz98966,nevada,f,bachelor,245019.10%,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000073,1/3/00,corporate auto,four-door car,1970-01-01 00:00:00.000000554,california,f
hm55802,california,f,bachelor,239210.79%,1970-01-01 00:00:00.000017870,1970-01-01 00:00:00.000000061,1/0/00,corporate auto,four-door car,1970-01-01 00:00:00.000000439,california,f
fs42516,oregon,f,college,580206.60%,1970-01-01 00:00:00.000097541,1970-01-01 00:00:00.000000072,1/0/00,personal auto,four-door car,1970-01-01 00:00:00.000000389,california,f
us89481,california,f,bachelor,394637.21%,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000111,1/0/00,personal auto,four-door car,1970-01-01 00:00:00.000000799,california,f
hs14476,washington,m,college,916206.32%,1970-01-01 00:00:00.000029723,1970-01-01 00:00:00.000000080,1/0/00,personal auto,four-door car,1970-01-01 00:00:00.000000020,california,f
ge62437,az,f,college,1290256.01%,1970-01-01 00:00:00.000086584,1970-01-01 00:00:00.000000111,1/2/00,personal auto,four-door car,1970-01-01 00:00:00.000000532,california,f
ej77678,oregon,f,master,323536.05%,1970-01-01 00:00:00.000075690,1970-01-01 00:00:00.000000080,1/1/00,personal auto,four-door car,1970-01-01 00:00:00.000000384,california,f
sv85652,arizona,f,college,245458.35%,1970-01-01 00:00:00.000023158,1970-01-01 00:00:00.000000063,1/1/00,personal auto,four-door car,1970-01-01 00:00:00.000000322,california,f
ul64533,nevada,f,high school or below,1897545.61%,1970-01-01 00:00:00.000065999,1970-01-01 00:00:00.000000170,1/0/00,corporate auto,luxury suv,1970-01-01 00:00:00.000000615,california,f
pf41800,california,f,bachelor,471532.13%,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000065,1/0/00,personal auto,four-door car,1970-01-01 00:00:00.000000308,california,f
hd95276,washington,f,college,473787.17%,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000130,1/0/00,personal auto,suv,1970-01-01 00:00:00.000000023,california,f
sk67821,oregon,f,bachelor,493291.63%,1970-01-01 00:00:00.000037260,1970-01-01 00:00:00.000000062,1/0/00,corporate auto,four-door car,1970-01-01 00:00:00.000000015,california,f
yv55495,arizona,f,high school or below,574422.97%,1970-01-01 00:00:00.000068987,1970-01-01 00:00:00.000000071,1/0/00,personal auto,four-door car,1970-01-01 00:00:00.000000204,california,f
ky38074,california,f,bachelor,1389173.57%,1970-01-01 00:00:00.000042305,1970-01-01 00:00:00.000000117,1/0/00,personal auto,four-door car,1970-01-01 00:00:00.000000561,california,f
dm79012,oregon,f,master,738097.67%,1970-01-01 00:00:00.000065706,1970-01-01 00:00:00.000000091,1/0/00,personal auto,four-door car,1970-01-01 00:00:00.000000436,california,f
cm61827,oregon,f,bachelor,309003.41%,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000090,1/0/00,personal auto,two-door car,1970-01-01 00:00:00.000000648,california,f
wc35801,arizona,f,high school or below,252163.31%,1970-01-01 00:00:00.000053243,1970-01-01 00:00:00.000000066,1/2/00,personal auto,four-door car,1970-01-01 00:00:00.000000157,california,f
qg25316,nevada,f,high school or below,265206.18%,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000070,1/1/00,corporate auto,two-door car,1970-01-01 00:00:00.000000484,california,f
mb98372,oregon,f,college,277104.50%,1970-01-01 00:00:00.000050071,1970-01-01 00:00:00.000000071,1/0/00,corporate auto,two-door car,1970-01-01 00:00:00.000000018,california,f
il19217,california,f,bachelor,393900.64%,1970-01-01 00:00:00.000060021,1970-01-01 00:00:00.000000099,1/0/00,personal auto,four-door car,1970-01-01 00:00:00.000000882,california,f
sr38658,arizona,f,high school or below,1223187.97%,1970-01-01 00:00:00.000043244,1970-01-01 00:00:00.000000103,1/0/00,personal auto,sports car,1970-01-01 00:00:00.000000494,california,f
yd87931,washington,m,doctor,495165.61%,1970-01-01 00:00:00.000046896,1970-01-01 00:00:00.000000170,1/1/00,personal auto,four-door car,1970-01-01 00:00:00.000000031,california,f
hg65722,oregon,f,doctor,1281910.29%,1970-01-01 00:00:00.000010105,1970-01-01 00:00:00.000000170,1/3/00,personal auto,suv,1970-01-01 00:00:00.000000000,california,f
bu27331,arizona,f,bachelor,446851.05%,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000073,1/3/00,personal auto,four-door car,1970-01-01 00:00:00.000000579,california,f
xm45289,oregon,f,high school or below,551434.40%,1970-01-01 00:00:00.000023218,1970-01-01 00:00:00.000000071,1/0/00,personal auto,two-door car,1970-01-01 00:00:00.000000447,california,f
kp34198,california,f,bachelor,334387.53%,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000092,1/0/00,corporate auto,four-door car,1970-01-01 00:00:00.000000529,california,f
sh90947,arizona,f,high school or below,229447.89%,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000062,1/0/00,personal auto,four-door car,1970-01-01 00:00:00.000000313,california,f
we95729,oregon,f,college,3670742.64%,1970-01-01 00:00:00.000024804,1970-01-01 00:00:00.000000104,1/0/00,personal auto,suv,1970-01-01 00:00:00.000000593,california,f
py51963,california,f,bachelor,3347334.95%,1970-01-01 00:00:00.000033190,1970-01-01 00:00:00.000000106,1/0/00,corporate auto,suv,1970-01-01 00:00:00.000000508,california,f
rb69909,nevada,f,high school or below,798343.17%,1970-01-01 00:00:00.000036014,1970-01-01 00:00:00.000000069,1/3/00,special auto,four-door car,1970-01-01 00:00:00.000000173,california,f
nw21079,washington,f,master,487938.48%,1970-01-01 00:00:00.000067163,1970-01-01 00:00:00.000000061,1/2/00,personal auto,two-door car,1970-01-01 00:00:00.000000033,california,f
fr46645,california,f,bachelor,429399.73%,1970-01-01 00:00:00.000016701,1970-01-01 00:00:00.000000113,1/0/00,personal auto,four-door car,1970-01-01 00:00:00.000000831,california,f
sy17488,arizona,f,college,716439.55%,1970-01-01 00:00:00.000046623,1970-01-01 00:00:00.000000091,1/0/00,corporate auto,four-door car,1970-01-01 00:00:00.000000436,california,f
ap67935,california,f,college,761951.58%,1970-01-01 00:00:00.000064749,1970-01-01 00:00:00.000000064,1/0/00,special auto,four-door car,1970-01-01 00:00:00.000000302,california,f
fs37417,arizona,f,high school or below,395800.28%,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000101,1/0/00,personal auto,suv,1970-01-01 00:00:00.000000484,california,f
ml29312,oregon,f,high school or below,449949.33%,1970-01-01 00:00:00.000016969,1970-01-01 00:00:00.000000124,1/2/00,personal auto,suv,1970-01-01 00:00:00.000000704,california,f
ub61619,oregon,f,master,405956.74%,1970-01-01 00:00:00.000011621,1970-01-01 00:00:00.000000108,1/0/00,personal auto,four-door car,1970-01-01 00:00:00.000000518,california,f
cd86811,arizona,f,bachelor,445811.34%,1970-01-01 00:00:00.000017622,1970-01-01 00:00:00.000000065,1/1/00,personal auto,four-door car,1970-01-01 00:00:00.000000312,california,f
ru83859,california,f,bachelor,811033.31%,1970-01-01 00:00:00.000011489,1970-01-01 00:00:00.000000105,1/0/00,personal auto,two-door car,1970-01-01 00:00:00.000000504,california,f
fg63582,oregon,f,bachelor,333976.49%,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000094,1/0/00,personal auto,two-door car,1970-01-01 00:00:00.000000863,california,f
nn71951,california,f,high school or below,2426101.78%,1970-01-01 00:00:00.000066525,1970-01-01 00:00:00.000000100,1/0/00,personal auto,suv,1970-01-01 00:00:00.000000104,california,f
wb37082,arizona,f,bachelor,661397.37%,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000063,1/0/00,personal auto,four-door car,1970-01-01 00:00:00.000000676,california,f
sm52139,wa,f,college,293069.35%,1970-01-01 00:00:00.000033663,1970-01-01 00:00:00.000000073,1/0/00,personal auto,four-door car,1970-01-01 00:00:00.000000350,california,f
fl82372,oregon,f,college,867219.43%,1970-01-01 00:00:00.000022547,1970-01-01 00:00:00.000000112,1/0/00,corporate auto,suv,1970-01-01 00:00:00.000000537,california,f
dp45816,az,f,high school or below,1163866.93%,1970-01-01 00:00:00.000061486,1970-01-01 00:00:00.000000097,1/0/00,personal auto,two-door car,1970-01-01 00:00:00.000000465,california,f
gw33762,oregon,f,bachelor,684615.03%,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000095,1/0/00,personal auto,two-door car,1970-01-01 00:00:00.000000456,california,f
rz33670,california,f,college,1172777.65%,1970-01-01 00:00:00.000029879,1970-01-01 00:00:00.000000102,1/0/00,personal auto,four-door car,1970-01-01 00:00:00.000000500,california,f
py70169,oregon,f,high school or below,2264383.48%,1970-01-01 00:00:00.000093011,1970-01-01 00:00:00.000000113,1/0/00,personal auto,suv,1970-01-01 00:00:00.000000281,california,f
mo91628,oregon,f,master,261447.43%,1970-01-01 00:00:00.000065186,1970-01-01 00:00:00.000000065,1/0/00,personal auto,two-door car,1970-01-01 00:00:00.000000005,california,f
hw87852,oregon,f,master,245175.27%,1970-01-01 00:00:00.000026840,1970-01-01 00:00:00.000000064,1/2/00,personal auto,four-door car,1970-01-01 00:00:00.000000307,california,f
hb20453,oregon,f,bachelor,678127.02%,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000104,1/1/00,personal auto,sports car,1970-01-01 00:00:00.000000966,california,f
bn87372,oregon,f,bachelor,497480.15%,1970-01-01 00:00:00.000075644,1970-01-01 00:00:00.000000065,1/3/00,personal auto,two-door car,1970-01-01 00:00:00.000000467,california,f
yx23800,oregon,f,bachelor,859160.49%,1970-01-01 00:00:00.000038984,1970-01-01 00:00:00.000000073,1/0/00,personal auto,four-door car,1970-01-01 00:00:00.000000350,california,f
dz87709,oregon,f,high school or below,559216.14%,1970-01-01 00:00:00.000071811,1970-01-01 00:00:00.000000071,1/0/00,personal auto,four-door car,1970-01-01 00:00:00.000000029,california,f
xw13033,nevada,f,college,800947.28%,1970-01-01 00:00:00.000020961,1970-01-01 00:00:00.000000067,1/0/00,personal auto,four-door car,1970-01-01 00:00:00.000000321,california,f
sp81997,washington,f,master,2300.691547,1970-01-01 00:00:00.000041275,1970-01-01 00:00:00.000000096,1/0/00,personal auto,four-door car,1970-01-01 00:00:00.000000041,california,f
om82309,california,f,bachelor,5816655.35%,1970-01-01 00:00:00.000061321,1970-01-01 00:00:00.000000170,1/1/00,personal auto,luxury car,1970-01-01 00:00:00.000000427,california,f
zu35962,california,f,college,802522.94%,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000077,1/0/00,personal auto,two-door car,1970-01-01 00:00:00.000000025,california,f
vh85817,california,f,high school or below,578018.22%,1970-01-01 00:00:00.000051066,1970-01-01 00:00:00.000000074,1/0/00,personal auto,four-door car,1970-01-01 00:00:00.000000787,california,f
dt85712,california,f,doctor,411853.91%,1970-01-01 00:00:00.000034378,1970-01-01 00:00:00.000000102,1/0/00,personal auto,suv,1970-01-01 00:00:00.000000489,california,f
yj88573,nevada,f,master,252307.02%,1970-01-01 00:00:00.000043072,1970-01-01 00:00:00.000000063,1/0/00,personal auto,four-door car,1970-01-01 00:00:00.000000302,california,f
sq19467,oregon,f,college,655421.64%,1970-01-01 00:00:00.000025222,1970-01-01 00:00:00.000000090,1/0/00,personal auto,four-door car,1970-01-01 00:00:00.000000475,california,f
yb66933,washington,f,bachelor,538275.20%,1970-01-01 00:00:00.000077552,1970-01-01 00:00:00.000000068,1/1/00,corporate auto,four-door car,1970-01-01 00:00:00.000000045,california,f
et79815,california,f,college,592672.94%,1970-01-01 00:00:00.000023091,1970-01-01 00:00:00.000000096,1/5/00,personal auto,four-door car,1970-01-01 00:00:00.000000460,california,f
qc35222,california,f,bachelor,268347.07%,1970-01-01 00:00:00.000048269,1970-01-01 00:00:00.000000069,1/3/00,corporate auto,four-door car,1970-01-01 00:00:00.000000282,california,f
cj15590,oregon,f,bachelor,269518.24%,1970-01-01 00:00:00.000032720,1970-01-01 00:00:00.000000067,1/0/00,personal auto,four-door car,1970-01-01 00:00:00.000000321,california,f
oi48267,california,f,college,604702.52%,1970-01-01 00:00:00.000020396,1970-01-01 00:00:00.000000076,1/1/00,personal auto,four-door car,1970-01-01 00:00:00.000000364,california,f
jy67916,oregon,f,college,1317101.28%,1970-01-01 00:00:00.000021513,1970-01-01 00:00:00.000000119,1/1/00,personal auto,two-door car,1970-01-01 00:00:00.000000679,california,f
ow15518,washington,f,college,1595001.95%,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000087,1/1/00,personal auto,two-door car,1970-01-01 00:00:00.000000046,california,f
cz33664,oregon,f,bachelor,252765.38%,1970-01-01 00:00:00.000080744,1970-01-01 00:00:00.000000063,1/0/00,corporate auto,four-door car,1970-01-01 00:00:00.000000011,california,f
wk30175,oregon,f,bachelor,267209.58%,1970-01-01 00:00:00.000052822,1970-01-01 00:00:00.000000067,1/0/00,corporate auto,two-door car,1970-01-01 00:00:00.000000350,california,f
on44465,california,f,high school or below,531329.40%,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000077,1/1/00,personal auto,four-door car,1970-01-01 00:00:00.000000863,california,f
tv87155,oregon,f,bachelor,2094619.25%,1970-01-01 00:00:00.000069738,1970-01-01 00:00:00.000000074,1/1/00,personal auto,four-door car,1970-01-01 00:00:00.000000492,california,f
kh48895,az,f,master,837535.39%,1970-01-01 00:00:00.000017780,1970-01-01 00:00:00.000000109,1/0/00,personal auto,suv,1970-01-01 00:00:00.000000132,california,f
nz30757,california,f,bachelor,480166.15%,1970-01-01 00:00:00.000018107,1970-01-01 00:00:00.000000062,1/0/00,personal auto,four-door car,1970-01-01 00:00:00.000000297,california,f
ri22468,az,f,bachelor,574594.33%,1970-01-01 00:00:00.000057740,1970-01-01 00:00:00.000000074,1/3/00,personal auto,four-door car,1970-01-01 00:00:00.000000269,california,f
fz30935,oregon,f,college,606611.60%,1970-01-01 00:00:00.000032627,1970-01-01 00:00:00.000000076,1/0/00,personal auto,two-door car,1970-01-01 00:00:00.000000380,california,f
ug93476,california,f,college,800230.83%,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000107,1/0/00,personal auto,suv,1970-01-01 00:00:00.000000513,california,f
ab96670,california,f,college,239391.54%,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000070,1/0/00,personal auto,four-door car,1970-01-01 00:00:00.000000425,california,f
xk64261,oregon,f,bachelor,476281.79%,1970-01-01 00:00:00.000065795,1970-01-01 00:00:00.000000062,1/1/00,corporate auto,two-door car,1970-01-01 00:00:00.000000049,california,f
ev68375,california,f,college,433038.60%,1970-01-01 00:00:00.000060475,1970-01-01 00:00:00.000000107,1/0/00,personal auto,four-door car,1970-01-01 00:00:00.000000513,california,f
un51653,california,f,high school or below,940272.98%,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000130,1/0/00,personal auto,suv,1970-01-01 00:00:00.000000936,california,f
to96662,oregon,f,bachelor,696669.45%,1970-01-01 00:00:00.000041837,1970-01-01 00:00:00.000000088,1/0/00,personal auto,four-door car,1970-01-01 00:00:00.000000142,california,f
mr52087,california,f,bachelor,769406.43%,1970-01-01 00:00:00.000032303,1970-01-01 00:00:00.000000065,1/0/00,personal auto,four-door car,1970-01-01 00:00:00.000000045,california,f
de75225,oregon,f,high school or below,871756.11%,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000117,1/1/00,personal auto,suv,1970-01-01 00:00:00.000000561,california,f
ep80820,california,f,bachelor,592874.85%,1970-01-01 00:00:00.000040531,1970-01-01 00:00:00.000000074,1/0/00,personal auto,two-door car,1970-01-01 00:00:00.000000030,california,f
gu99037,oregon,f,college,245297.73%,1970-01-01 00:00:00.000079898,1970-01-01 00:00:00.000000062,1/1/00,corporate auto,four-door car,1970-01-01 00:00:00.000000271,california,f
wi57118,california,f,college,670157.17%,1970-01-01 00:00:00.000056398,1970-01-01 00:00:00.000000085,1/0/00,personal auto,four-door car,1970-01-01 00:00:00.000000408,california,f
gp39118,washington,m,high school or below,499655.27%,1970-01-01 00:00:00.000071600,1970-01-01 00:00:00.000000063,1/0/00,personal auto,two-door car,1970-01-01 00:00:00.000000046,california,f
mq14219,az,f,college,849269.88%,1970-01-01 00:00:00.000027804,1970-01-01 00:00:00.000000109,1/0/00,personal auto,suv,1970-01-01 00:00:00.000000784,california,f
kn20603,oregon,f,bachelor,771349.40%,1970-01-01 00:00:00.000045506,1970-01-01 00:00:00.000000066,1/2/00,personal auto,four-door car,1970-01-01 00:00:00.000000316,california,f
sg20925,washington,f,master,518579.76%,1970-01-01 00:00:00.000099428,1970-01-01 00:00:00.000000170,1/1/00,personal auto,four-door car,1970-01-01 00:00:00.000000048,california,f
ji70886,california,f,high school or below,729006.98%,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000102,1/1/00,corporate auto,suv,1970-01-01 00:00:00.000000489,california,f
vf72557,oregon,f,high school or below,477294.38%,1970-01-01 00:00:00.000020993,1970-01-01 00:00:00.000000133,1/0/00,personal auto,suv,1970-01-01 00:00:00.000000638,california,f
ox28638,az,f,high school or below,680649.14%,1970-01-01 00:00:00.000037839,1970-01-01 00:00:00.000000086,1/0/00,personal auto,two-door car,1970-01-01 00:00:00.000000465,california,f
sk55033,california,f,bachelor,246978.13%,1970-01-01 00:00:00.000092711,1970-01-01 00:00:00.000000062,1/0/00,personal auto,two-door car,1970-01-01 00:00:00.000000368,california,f
oo88645,california,f,college,310392.30%,1970-01-01 00:00:00.000074665,1970-01-01 00:00:00.000000078,1/2/00,corporate auto,four-door car,1970-01-01 00:00:00.000000236,california,f
fm14335,washington,f,college,1048491.54%,1970-01-01 00:00:00.000061108,1970-01-01 00:00:00.000000089,1/0/00,personal auto,four-door car,1970-01-01 00:00:00.000000049,california,f
cw82151,california,f,bachelor,890273.76%,1970-01-01 00:00:00.000046833,1970-01-01 00:00:00.000000112,1/0/00,personal auto,sports car,1970-01-01 00:00:00.000000064,california,f
dy22043,oregon,f,high school or below,549944.72%,1970-01-01 00:00:00.000088768,1970-01-01 00:00:00.000000068,1/0/00,personal auto,two-door car,1970-01-01 00:00:00.000000326,california,f
sh36774,california,f,high school or below,1502359.86%,1970-01-01 00:00:00.000028262,1970-01-01 00:00:00.000000170,1/0/00,personal auto,luxury suv,1970-01-01 00:00:00.000000921,california,f
em43724,nevada,f,bachelor,250910.79%,1970-01-01 00:00:00.000033555,1970-01-01 00:00:00.000000063,1/0/00,personal auto,four-door car,1970-01-01 00:00:00.000000101,california,f
fh85960,oregon,f,college,3122174.81%,1970-01-01 00:00:00.000042780,1970-01-01 00:00:00.000000113,1/1/00,personal auto,four-door car,1970-01-01 00:00:00.000000542,california,f
xa55993,oregon,f,master,313350.34%,1970-01-01 00:00:00.000058850,1970-01-01 00:00:00.000000078,1/0/00,personal auto,four-door car,1970-01-01 00:00:00.000000143,california,f
go36627,az,f,college,383745.19%,1970-01-01 00:00:00.000021880,1970-01-01 00:00:00.000000097,1/0/00,special auto,four-door car,1970-01-01 00:00:00.000000424,california,f
qh48047,oregon,f,college,1179049.62%,1970-01-01 00:00:00.000025251,1970-01-01 00:00:00.000000066,1/0/00,personal auto,four-door car,1970-01-01 00:00:00.000000316,california,f
hs28694,washington,f,high school or below,282986.39%,1970-01-01 00:00:00.000025317,1970-01-01 00:00:00.000000071,1/0/00,personal auto,two-door car,1970-01-01 00:00:00.000000050,california,f
uh65059,az,f,high school or below,430580.83%,1970-01-01 00:00:00.000024188,1970-01-01 00:00:00.000000109,1/0/00,personal auto,sports car,1970-01-01 00:00:00.000000523,california,f
fv21968,nevada,f,bachelor,597397.69%,1970-01-01 00:00:00.000041611,1970-01-01 00:00:00.000000074,1/0/00,special auto,four-door car,1970-01-01 00:00:00.000000113,california,f
qa87025,oregon,f,bachelor,567044.24%,1970-01-01 00:00:00.000028406,1970-01-01 00:00:00.000000072,1/1/00,personal auto,four-door car,1970-01-01 00:00:00.000000192,california,f
tq13499,az,f,college,473174.93%,1970-01-01 00:00:00.000069833,1970-01-01 00:00:00.000000118,1/0/00,personal auto,four-door car,1970-01-01 00:00:00.000000828,california,f
bu44523,az,f,high school or below,802637.96%,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000074,1/0/00,corporate auto,four-door car,1970-01-01 00:00:00.000000532,california,f
ms41162,az,f,high school or below,402296.35%,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000117,1/0/00,personal auto,suv,1970-01-01 00:00:00.000000966,california,f
pu25891,oregon,f,high school or below,961831.09%,1970-01-01 00:00:00.000080536,1970-01-01 00:00:00.000000119,1/0/00,special auto,sports car,1970-01-01 00:00:00.000000053,california,f
lh92841,washington,f,bachelors,725595.38%,1970-01-01 00:00:00.000088891,1970-01-01 00:00:00.000000089,1/0/00,personal auto,four-door car,1970-01-01 00:00:00.000000050,california,f
sx26335,oregon,f,college,955292.69%,1970-01-01 00:00:00.000097732,1970-01-01 00:00:00.000000079,1/0/00,personal auto,four-door car,1970-01-01 00:00:00.000000289,california,f
az95587,az,f,bachelor,1038855.32%,1970-01-01 00:00:00.000061222,1970-01-01 00:00:00.000000089,1/0/00,special auto,four-door car,1970-01-01 00:00:00.000000392,california,f
ds81757,oregon,m,college,247012.12%,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000074,1/0/00,personal auto,two-door car,1970-01-01 00:00:00.000000721,california,f
oj94107,az,m,master,561906.85%,1970-01-01 00:00:00.000050335,1970-01-01 00:00:00.000000140,1/0/00,personal auto,suv,1970-01-01 00:00:00.000000456,california,f
lp84436,california,f,high school or below,904711.92%,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000127,1/0/00,personal auto,sports car,1970-01-01 00:00:00.000000966,california,f
ff22360,washington,f,doctor,268731.41%,1970-01-01 00:00:00.000082210,1970-01-01 00:00:00.000000068,1/4/00,personal auto,four-door car,1970-01-01 00:00:00.000000051,california,f
lm19287,oregon,f,high school or below,373150.46%,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000096,1/0/00,personal auto,four-door car,1970-01-01 00:00:00.000000460,california,f
zu18643,nevada,m,bachelor,366077.03%,1970-01-01 00:00:00.000064495,1970-01-01 00:00:00.000000092,1/0/00,corporate auto,four-door car,1970-01-01 00:00:00.000000251,california,f
az82578,california,f,college,792882.93%,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000072,1/0/00,corporate auto,four-door car,1970-01-01 00:00:00.000000345,california,f
xc67861,arizona,f,bachelor,501175.16%,1970-01-01 00:00:00.000028859,1970-01-01 00:00:00.000000067,1/3/00,corporate auto,two-door car,1970-01-01 00:00:00.000000321,california,f
yc43143,arizona,f,high school or below,798825.83%,1970-01-01 00:00:00.000077330,1970-01-01 00:00:00.000000099,1/0/00,personal auto,four-door car,1970-01-01 00:00:00.000000099,california,f
ek59571,oregon,m,college,388545.64%,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000105,1/0/00,corporate auto,four-door car,1970-01-01 00:00:00.000000504,california,f
pa38372,washington,f,high school or below,935773.78%,1970-01-01 00:00:00.000033060,1970-01-01 00:00:00.000000117,1/0/00,personal auto,four-door car,1970-01-01 00:00:00.000000056,california,f
ro18530,washington,m,master,254068.98%,1970-01-01 00:00:00.000042557,1970-01-01 00:00:00.000000065,1/0/00,personal auto,four-door car,1970-01-01 00:00:00.000000057,california,f
